Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-05-16,OCEA,5.38,5.53,5.58,5.0,-4.440497335701599,5.63,5.9299,5.955,5.63,38432.0,5.94,5.87,6.06,5.6867,29601.0
2023-05-17,OCEA,5.27,5.271,5.51,5.25,-3.1250000000000147,5.44,5.38,5.58,5.0001,55834.0,5.63,5.9299,5.955,5.63,38432.0
2023-05-18,OCEA,5.13,5.16,5.54,5.13,0.0,5.13,5.27,5.51,5.0102,42467.0,5.44,5.38,5.58,5.0001,55834.0
2023-05-19,OCEA,5.25,5.05,5.29,5.05,1.941747572815527,5.15,5.13,5.54,5.03,43390.0,5.13,5.27,5.51,5.0102,42467.0
2023-05-22,OCEA,5.07,5.1,5.7,5.06,0.5952380952381001,5.04,5.25,5.29,5.0,32606.0,5.15,5.13,5.54,5.03,43390.0
2023-05-23,OCEA,7.3,8.83,9.76,7.27,38.78326996197719,5.26,5.07,5.7,5.06,65342.0,5.04,5.25,5.29,5.0,32606.0
2023-05-24,OCEA,6.32,5.615,6.42,5.23,-6.231454005934717,6.74,7.3,12.08,6.47,46061024.0,5.26,5.07,5.7,5.06,65342.0
2023-05-25,OCEA,5.4,5.23,5.46,5.06,13.207547169811336,4.77,6.32,6.42,4.6501,2484239.0,6.74,7.3,12.08,6.47,46061024.0
2023-05-26,OCEA,4.99,4.979,5.29,4.86,-3.6679536679536584,5.18,5.4,6.09,5.06,4822505.0,4.77,6.32,6.42,4.6501,2484239.0
2023-05-30,OCEA,5.05,5.009,5.12,4.87,-2.321083172147004,5.17,4.99,5.29,4.86,618846.0,5.18,5.4,6.09,5.06,4822505.0
2023-05-31,OCEA,5.11,5.15,5.6,5.052,2.8169014084507156,4.97,5.05,5.13,4.87,388628.0,5.17,4.99,5.29,4.86,618846.0
2023-06-01,OCEA,5.25,5.16,5.45,5.125,-0.943396226415091,5.3,5.11,5.6,5.052,825369.0,4.97,5.05,5.13,4.87,388628.0
2023-06-02,OCEA,5.7,5.57,5.73,5.51,-0.3496503496503422,5.72,5.25,5.74,5.125,632996.0,5.3,5.11,5.6,5.052,825369.0
2023-06-05,OCEA,5.48,5.39,5.5,5.33,-0.3636363636363559,5.5,5.7,5.73,5.3801,386337.0,5.72,5.25,5.74,5.125,632996.0
2023-06-06,OCEA,5.4,5.579,5.7,5.4,-2.3508137432188043,5.53,5.48,5.79,5.2838,469145.0,5.5,5.7,5.73,5.3801,386337.0
