Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-06-02,LTRN,5.3,5.024,5.3,4.95,-0.18832391713747246,5.31,5.22,5.4,5.1701,16021.0,5.21,5.53,5.53,5.1019,36517.0
2023-06-05,LTRN,5.08,5.2,5.22,5.01,0.9940357852882667,5.03,5.3,5.3,4.9505,46657.0,5.31,5.22,5.4,5.1701,16021.0
2023-06-06,LTRN,5.21,5.21,5.21,5.115,3.168316831683171,5.05,5.08,5.2199,4.9501,22271.0,5.03,5.3,5.3,4.9505,46657.0
2023-06-07,LTRN,5.38,5.38,5.492,5.322,4.263565891472863,5.16,5.21,5.38,5.115,51133.0,5.05,5.08,5.2199,4.9501,22271.0
2023-06-08,LTRN,5.4,5.431,5.48,5.37,2.2340022718667236,5.282,5.38,5.4916,5.26,32006.0,5.16,5.21,5.38,5.115,51133.0
2023-06-09,LTRN,5.59,5.56,5.6,5.51,1.8214936247723068,5.49,5.4,5.5383,5.36,34247.0,5.282,5.38,5.4916,5.26,32006.0
2023-06-12,LTRN,5.6,5.32,5.6,5.273,3.7037037037036904,5.4,5.59,5.6,5.3501,31034.0,5.49,5.4,5.5383,5.36,34247.0
2023-06-13,LTRN,5.75,5.79,5.85,5.66,-1.3722126929674112,5.83,5.6,5.85,5.2733,130596.0,5.4,5.59,5.6,5.3501,31034.0
2023-06-14,LTRN,6.0,6.07,6.13,6.0,1.0101010101010035,5.94,5.75,6.08,5.66,37150.0,5.83,5.6,5.85,5.2733,130596.0
2023-06-15,LTRN,5.75,5.98,6.0,5.75,-1.032702237521508,5.81,6.0,6.13,5.76,27303.0,5.94,5.75,6.08,5.66,37150.0
2023-06-16,LTRN,6.0,5.995,6.0,5.91,1.5228426395939063,5.91,5.75,6.0,5.75,38152.0,5.81,6.0,6.13,5.76,27303.0
2023-06-20,LTRN,6.18,6.05,6.18,5.87,2.828618968386022,6.01,6.0,6.01,5.8425,55574.0,5.91,5.75,6.0,5.75,38152.0
2023-06-21,LTRN,6.02,6.0,6.14,5.82,0.0,6.02,6.18,6.18,5.87,88875.0,6.01,6.0,6.01,5.8425,55574.0
2023-06-22,LTRN,5.78,5.6,5.79,5.47,-1.1965811965811863,5.85,6.02,6.14,5.81,50383.0,6.02,6.18,6.18,5.87,88875.0
2023-06-23,LTRN,5.23,5.34,5.464,5.23,-2.0599250936329483,5.34,5.78,5.79,5.27,46590.0,5.85,6.02,6.14,5.81,50383.0
2023-06-26,LTRN,5.59,5.11,5.6,5.05,9.179687499999995,5.12,5.23,5.4644,5.03,42848.0,5.34,5.78,5.79,5.27,46590.0
2023-06-27,LTRN,5.34,5.29,5.41,5.21,1.3282732447817893,5.27,5.59,5.6,5.05,46881.0,5.12,5.23,5.4644,5.03,42848.0
2023-06-28,LTRN,5.094,5.301,5.301,5.09,-1.4642166344294067,5.17,5.34,5.41,5.05,52381.0,5.27,5.59,5.6,5.05,46881.0
2023-06-29,LTRN,5.07,5.34,5.34,5.07,-3.0592734225621436,5.23,5.0943,5.4719,5.09,21530.0,5.17,5.34,5.41,5.05,52381.0
2023-06-30,LTRN,5.19,5.5,5.589,5.19,0.7766990291262142,5.15,5.07,5.34,5.07,23362.0,5.23,5.0943,5.4719,5.09,21530.0
2023-07-03,LTRN,5.59,5.65,5.66,5.52,-0.8865248226950324,5.64,5.19,5.74,5.19,39802.0,5.15,5.07,5.34,5.07,23362.0
2023-07-05,LTRN,5.31,5.475,5.5,5.31,-3.5825177491692886,5.5073,5.59,5.66,5.5073,25564.0,5.64,5.19,5.74,5.19,39802.0
2023-07-06,LTRN,5.36,5.205,5.36,5.15,-2.0109689213893867,5.47,5.31,5.6699,5.31,20230.0,5.5073,5.59,5.66,5.5073,25564.0
2023-07-07,LTRN,5.18,5.14,5.252,5.14,1.3698630136986183,5.11,5.36,5.36,5.0627,251518.0,5.47,5.31,5.6699,5.31,20230.0
2023-07-10,LTRN,5.19,5.19,5.19,5.135,-0.38387715930901295,5.21,5.18,5.34,5.06,25478.0,5.11,5.36,5.36,5.0627,251518.0
2023-07-11,LTRN,5.16,5.175,5.255,5.1,1.176470588235304,5.1,5.19,5.19,5.1,36070.0,5.21,5.18,5.34,5.06,25478.0
2023-07-12,LTRN,5.34,5.2,5.35,5.15,5.118110236220468,5.08,5.16,5.255,5.08,24240.0,5.1,5.19,5.19,5.1,36070.0
2023-07-13,LTRN,5.26,5.18,5.31,5.18,1.5444015444015458,5.18,5.34,5.35,5.11,51792.0,5.08,5.16,5.255,5.08,24240.0
2023-07-14,LTRN,5.1,5.152,5.2,5.1,-1.9230769230769333,5.2,5.26,5.35,5.15,65880.0,5.18,5.34,5.35,5.11,51792.0
2023-07-17,LTRN,5.1,5.03,5.15,5.0,3.030303030303019,4.95,5.1,5.2,4.92,55690.0,5.2,5.26,5.35,5.15,65880.0
2023-07-18,LTRN,5.16,5.01,5.16,5.0,2.3809523809523827,5.04,5.1,5.15,5.0,42097.0,4.95,5.1,5.2,4.92,55690.0
2023-07-19,LTRN,4.9,4.6,4.9,4.57,-0.6085192697768633,4.93,5.16,5.16,4.76,75824.0,5.04,5.1,5.15,5.0,42097.0
2023-07-20,LTRN,4.59,4.56,4.63,4.56,-0.6493506493506547,4.62,4.9,4.9,4.5101,105673.0,4.93,5.16,5.16,4.76,75824.0
2023-07-21,LTRN,4.8,4.65,4.8,4.65,2.1276595744680775,4.7,4.59,4.8,4.56,38795.0,4.62,4.9,4.9,4.5101,105673.0
2023-07-24,LTRN,4.6,4.504,4.627,4.49,0.8771929824561412,4.56,4.8,4.8,4.5,47282.0,4.7,4.59,4.8,4.56,38795.0
2023-07-25,LTRN,4.4,4.45,4.483,4.4,-0.4524886877827958,4.42,4.6,4.6274,4.39,44940.0,4.56,4.8,4.8,4.5,47282.0
2023-07-26,LTRN,4.4,4.479,4.54,4.39,0.0,4.4,4.4,4.5712,4.4,24179.0,4.42,4.6,4.6274,4.39,44940.0
2023-07-27,LTRN,4.58,4.54,4.72,4.52,0.4385964912280803,4.56,4.4,4.67,4.34,34670.0,4.4,4.4,4.5712,4.4,24179.0
2023-07-28,LTRN,4.52,4.53,4.6,4.52,0.444444444444435,4.5,4.58,4.72,4.45,44130.0,4.56,4.4,4.67,4.34,34670.0
2023-07-31,LTRN,4.59,4.47,4.59,4.47,0.24679494179569356,4.5787,4.52,4.62,4.51,8426.0,4.5,4.58,4.72,4.45,44130.0
2023-08-01,LTRN,4.66,4.633,4.72,4.633,0.6479481641468736,4.63,4.59,4.67,4.4062,51027.0,4.5787,4.52,4.62,4.51,8426.0
2023-08-02,LTRN,4.88,4.8,4.88,4.8,-0.20449897750510812,4.89,4.66,4.89,4.6043,15308.0,4.63,4.59,4.67,4.4062,51027.0
2023-08-03,LTRN,4.71,4.6,4.82,4.6,0.6410256410256464,4.68,4.88,4.88,4.6,30348.0,4.89,4.66,4.89,4.6043,15308.0
2023-08-04,LTRN,4.76,4.761,4.822,4.61,0.8474576271186449,4.72,4.71,4.87,4.59,30254.0,4.68,4.88,4.88,4.6,30348.0
2023-08-07,LTRN,4.84,4.675,4.84,4.64,0.0,4.84,4.76,4.87,4.61,14024.0,4.72,4.71,4.87,4.59,30254.0
2023-08-08,LTRN,4.66,4.551,4.66,4.551,0.00215053763440359,4.65,4.84,4.84,4.64,27309.0,4.84,4.76,4.87,4.61,14024.0
2023-08-09,LTRN,4.66,4.63,4.71,4.596,2.192982456140363,4.56,4.6501,4.6876,4.53,24022.0,4.65,4.84,4.84,4.64,27309.0
2023-08-10,LTRN,5.83,5.022,5.83,4.84,24.839400428265527,4.67,4.66,4.71,4.5708,27437.0,4.56,4.6501,4.6876,4.53,24022.0
2023-08-11,LTRN,5.09,4.932,5.1,4.84,1.7999999999999972,5.0,5.83,5.83,4.783,118358.0,4.67,4.66,4.71,4.5708,27437.0
2023-08-14,LTRN,5.0,4.855,5.0,4.7,2.0408163265306047,4.9,5.09,5.1,4.755,20754.0,5.0,5.83,5.83,4.783,118358.0
