Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-06-28,HSCS,0.94,0.911,0.948,0.911,-1.3226957799706125,0.9526,0.9601,0.9899,0.9303,33513.0,0.9505,0.9642,1.0,0.9181,28352.0
2023-06-29,HSCS,0.9,0.9,0.9,0.9,-2.152407870420702,0.9199,0.94,0.9475,0.9,66652.0,0.9526,0.9601,0.9899,0.9303,33513.0
2023-06-30,HSCS,0.93,0.929,0.93,0.929,2.1538461538461484,0.91,0.9001,0.93,0.8805,78563.0,0.9199,0.94,0.9475,0.9,66652.0
2023-07-03,HSCS,0.92,0.926,0.926,0.88,1.657458563535913,0.905,0.9296,0.93,0.89,16695.0,0.91,0.9001,0.93,0.8805,78563.0
2023-07-05,HSCS,0.9,0.935,0.945,0.9,1.1235955056179785,0.89,0.92,0.9261,0.88,52921.0,0.905,0.9296,0.93,0.89,16695.0
2023-07-06,HSCS,0.932,0.983,0.983,0.932,-0.4632066533319254,0.9499,0.9,0.9632,0.8901,19851.0,0.89,0.92,0.9261,0.88,52921.0
2023-07-07,HSCS,0.95,0.88,0.95,0.88,-2.1868131868131897,0.91,0.9455,0.9833,0.9,16665.0,0.9499,0.9,0.9632,0.8901,19851.0
2023-07-10,HSCS,0.99,0.926,0.99,0.926,12.219451371571074,0.8822,0.8901,0.9596,0.88,20019.0,0.91,0.9455,0.9833,0.9,16665.0
2023-07-11,HSCS,0.916,0.916,0.916,0.916,0.10928961748633889,0.915,0.99,0.99,0.8887,18584.0,0.8822,0.8901,0.9596,0.88,20019.0
2023-07-12,HSCS,0.896,0.9,0.916,0.896,-5.705263157894728,0.95,0.916,0.9577,0.8901,11641.0,0.915,0.99,0.99,0.8887,18584.0
2023-07-13,HSCS,0.906,0.91,0.92,0.9,2.7244305493523995,0.8956,0.8958,0.9251,0.884,45199.0,0.95,0.916,0.9577,0.8901,11641.0
2023-07-14,HSCS,0.96,0.92,0.96,0.92,-2.0833333333333353,0.96,0.92,0.96,0.9,34761.0,0.8956,0.8958,0.9251,0.884,45199.0
2023-07-17,HSCS,0.97,0.97,0.97,0.95,2.105263157894739,0.95,0.94,0.9598,0.92,18793.0,0.96,0.92,0.96,0.9,34761.0
2023-07-18,HSCS,0.99,0.98,0.99,0.98,1.071975497702905,0.9795,0.97,0.9795,0.95,3250.0,0.95,0.94,0.9598,0.92,18793.0
2023-07-19,HSCS,0.94,0.921,0.959,0.921,-4.062053480302108,0.9798,0.99,0.99,0.96,10707.0,0.9795,0.97,0.9795,0.95,3250.0
2023-07-20,HSCS,0.92,0.935,0.95,0.92,-0.8941075083485914,0.9283,0.94,0.9588,0.92,46618.0,0.9798,0.99,0.99,0.96,10707.0
2023-07-21,HSCS,0.917,0.904,0.917,0.9,1.93333333333333,0.9,0.92,0.95,0.9,36502.0,0.9283,0.94,0.9588,0.92,46618.0
2023-07-24,HSCS,0.879,0.9,0.9,0.879,2.2727272727272747,0.88,0.9174,0.9174,0.876,38829.0,0.9,0.92,0.95,0.9,36502.0
2023-07-25,HSCS,0.919,0.92,0.97,0.916,-0.10869565217391314,0.92,0.9,0.92,0.8501,35295.0,0.88,0.9174,0.9174,0.876,38829.0
2023-07-26,HSCS,0.88,0.88,0.89,0.88,1.9814600231749715,0.863,0.919,0.97,0.851,58505.0,0.92,0.9,0.92,0.8501,35295.0
2023-07-27,HSCS,0.903,0.92,0.92,0.88,0.011363636363635113,0.88,0.8801,0.9,0.863,67477.0,0.863,0.919,0.97,0.851,58505.0
2023-07-28,HSCS,0.866,0.91,0.91,0.866,-1.5909090909090924,0.88,0.8801,0.92,0.879,61790.0,0.88,0.8801,0.9,0.863,67477.0
2023-07-31,HSCS,0.878,0.87,0.91,0.866,-0.5510907003444347,0.871,0.866,0.9104,0.866,68235.0,0.88,0.8801,0.92,0.879,61790.0
2023-08-01,HSCS,0.88,0.878,0.887,0.873,0.8711600183402168,0.8724,0.8662,0.9095,0.8662,57867.0,0.871,0.866,0.9104,0.866,68235.0
2023-08-02,HSCS,0.913,0.881,0.913,0.881,1.2191067272525777,0.9023,0.88,0.937,0.8732,45310.0,0.8724,0.8662,0.9095,0.8662,57867.0
2023-08-03,HSCS,0.88,0.88,0.909,0.88,-1.1233430689732653,0.8902,0.9133,0.93,0.88,11859.0,0.9023,0.88,0.937,0.8732,45310.0
2023-08-04,HSCS,0.913,0.886,0.916,0.875,2.640449438202243,0.89,0.8802,0.9388,0.88,61708.0,0.8902,0.9133,0.93,0.88,11859.0
2023-08-07,HSCS,0.94,0.9,0.94,0.89,3.4672537149146914,0.9085,0.9135,0.9307,0.8748,22603.0,0.89,0.8802,0.9388,0.88,61708.0
2023-08-08,HSCS,0.893,0.871,0.893,0.87,0.0,0.8926,0.94,0.94,0.8739,256111.0,0.9085,0.9135,0.9307,0.8748,22603.0
2023-08-09,HSCS,0.977,0.95,0.977,0.92,-0.20435271278226233,0.9787,0.8926,0.98,0.7801,438978.0,0.8926,0.94,0.94,0.8739,256111.0
2023-08-10,HSCS,0.904,0.906,0.916,0.9,1.7333333333333274,0.9,0.9767,0.9767,0.9,84158.0,0.9787,0.8926,0.98,0.7801,438978.0
2023-08-11,HSCS,0.86,0.86,0.91,0.86,0.0,0.86,0.9156,0.924,0.855,27107.0,0.9,0.9767,0.9767,0.9,84158.0
2023-08-14,HSCS,0.861,0.85,0.89,0.85,0.34883720930232587,0.86,0.86,0.91,0.8201,60962.0,0.86,0.9156,0.924,0.855,27107.0
2023-08-15,HSCS,0.839,0.86,0.86,0.838,-2.7375014499477968,0.8621,0.863,0.89,0.85,63571.0,0.86,0.86,0.91,0.8201,60962.0
2023-08-16,HSCS,0.846,0.839,0.846,0.785,-0.2710027100270966,0.8487,0.8385,0.86,0.8201,49084.0,0.8621,0.863,0.89,0.85,63571.0
2023-08-17,HSCS,0.79,0.746,0.805,0.735,2.5974025974025996,0.77,0.8464,0.8464,0.76,182102.0,0.8487,0.8385,0.86,0.8201,49084.0
2023-08-18,HSCS,0.774,0.72,0.774,0.71,0.532536693077022,0.7699,0.79,0.805,0.72,198688.0,0.77,0.8464,0.8464,0.76,182102.0
2023-08-21,HSCS,0.698,0.69,0.725,0.69,-2.999999999999994,0.72,0.774,0.7741,0.69,118569.0,0.7699,0.79,0.805,0.72,198688.0
2023-08-22,HSCS,0.695,0.691,0.765,0.666,-2.169014084507038,0.71,0.6984,0.7246,0.6601,94069.0,0.72,0.774,0.7741,0.69,118569.0
2023-08-23,HSCS,0.671,0.686,0.691,0.671,-4.08571428571428,0.7,0.6946,0.7652,0.6628,52962.0,0.71,0.6984,0.7246,0.6601,94069.0
2023-08-24,HSCS,0.65,0.67,0.67,0.639,0.015384615384613689,0.65,0.6714,0.6905,0.601,84079.0,0.7,0.6946,0.7652,0.6628,52962.0
2023-08-25,HSCS,0.65,0.64,0.65,0.64,0.0,0.65,0.6501,0.6699,0.61,15812.0,0.65,0.6714,0.6905,0.601,84079.0
2023-08-28,HSCS,0.67,0.723,0.734,0.67,0.0,0.67,0.65,0.6849,0.6399,17759.0,0.65,0.6501,0.6699,0.61,15812.0
2023-08-29,HSCS,0.725,0.72,0.73,0.72,0.4305555555555544,0.72,0.67,0.749,0.67,87918.0,0.67,0.65,0.6849,0.6399,17759.0
2023-08-30,HSCS,0.718,0.718,0.718,0.718,2.7781636338380356,0.7199,0.7231,0.7399,0.6801,14810.0,0.72,0.67,0.749,0.67,87918.0
2023-08-31,HSCS,0.734,0.736,0.771,0.734,1.972222222222221,0.72,0.7399,0.7399,0.6901,29954.0,0.7199,0.7231,0.7399,0.6801,14810.0
2023-09-01,HSCS,0.673,0.705,0.71,0.673,-3.857142857142845,0.7,0.7342,0.7709,0.6705,46190.0,0.72,0.7399,0.7399,0.6901,29954.0
2023-09-05,HSCS,0.73,0.73,0.76,0.73,4.28571428571429,0.7,0.673,0.74,0.673,41151.0,0.7,0.7342,0.7709,0.6705,46190.0
2023-09-06,HSCS,0.716,0.73,0.738,0.693,-1.9860293110532747,0.7301,0.73,0.76,0.73,40836.0,0.7,0.673,0.74,0.673,41151.0
2023-09-07,HSCS,0.79,0.767,0.8,0.709,0.0,0.7899,0.7156,0.79,0.6928,46048.0,0.7301,0.73,0.76,0.73,40836.0
2023-09-08,HSCS,0.75,0.782,0.82,0.75,-5.06329113924051,0.79,0.7899,0.8,0.7086,55069.0,0.7899,0.7156,0.79,0.6928,46048.0
2023-09-11,HSCS,0.75,0.728,0.81,0.728,-2.5974025974025996,0.77,0.75,0.82,0.75,26024.0,0.79,0.7899,0.8,0.7086,55069.0
2023-09-12,HSCS,0.8,0.8,0.8,0.8,2.5641025641025665,0.78,0.75,0.82,0.7276,24402.0,0.77,0.75,0.82,0.75,26024.0
2023-09-13,HSCS,0.79,0.848,0.848,0.79,-1.2376547068383572,0.7999,0.8,0.8,0.76,12996.0,0.78,0.75,0.82,0.7276,24402.0
2023-09-14,HSCS,0.839,0.803,0.839,0.803,1.0843373493975914,0.83,0.79,0.85,0.79,37934.0,0.7999,0.8,0.8,0.76,12996.0
2023-09-15,HSCS,0.831,0.85,0.85,0.831,1.402439024390252,0.82,0.839,0.8422,0.7803,29396.0,0.83,0.79,0.85,0.79,37934.0
2023-09-18,HSCS,0.852,0.85,0.852,0.785,0.0,0.8518,0.8315,0.8518,0.68,93508.0,0.82,0.839,0.8422,0.7803,29396.0
2023-09-19,HSCS,0.755,0.65,0.755,0.64,8.746397694524509,0.694,0.8518,0.8518,0.68,146538.0,0.8518,0.8315,0.8518,0.68,93508.0
2023-09-20,HSCS,0.4,0.45,0.51,0.38,-9.068181818181815,0.44,0.7547,0.7547,0.3001,1736202.0,0.694,0.8518,0.8518,0.68,146538.0
2023-09-21,HSCS,0.409,0.38,0.43,0.38,7.480314960629913,0.381,0.4001,0.51,0.38,300564.0,0.44,0.7547,0.7547,0.3001,1736202.0
2023-09-22,HSCS,0.391,0.469,0.48,0.39,0.35897435897436214,0.39,0.4095,0.4298,0.365,168302.0,0.381,0.4001,0.51,0.38,300564.0
2023-09-25,HSCS,0.438,0.412,0.44,0.41,-0.43191634462378103,0.4399,0.3914,0.48,0.39,266432.0,0.39,0.4095,0.4298,0.365,168302.0
2023-09-26,HSCS,0.42,0.414,0.432,0.414,2.1897810218978124,0.411,0.438,0.4399,0.3818,82639.0,0.4399,0.3914,0.48,0.39,266432.0
2023-09-27,HSCS,0.415,0.415,0.415,0.415,-2.35294117647059,0.425,0.42,0.4317,0.4001,45649.0,0.411,0.438,0.4399,0.3818,82639.0
2023-09-28,HSCS,0.421,0.416,0.443,0.416,0.0,0.421,0.415,0.448,0.41,19867.0,0.425,0.42,0.4317,0.4001,45649.0
2023-09-29,HSCS,0.443,0.412,0.466,0.411,4.995265151515153,0.4224,0.421,0.4662,0.416,27632.0,0.421,0.415,0.448,0.41,19867.0
2023-10-02,HSCS,0.426,0.43,0.449,0.425,0.0,0.426,0.4435,0.4662,0.4111,41668.0,0.4224,0.421,0.4662,0.416,27632.0
2023-10-03,HSCS,0.44,0.43,0.44,0.427,2.3970211775657377,0.4297,0.426,0.449,0.415,31775.0,0.426,0.4435,0.4662,0.4111,41668.0
2023-10-04,HSCS,0.45,0.45,0.45,0.42,4.6998604001861315,0.4298,0.44,0.44,0.42,17333.0,0.4297,0.426,0.449,0.415,31775.0
2023-10-05,HSCS,0.42,0.434,0.434,0.406,-1.1904761904761916,0.42,0.45,0.45,0.416,21550.0,0.4298,0.44,0.44,0.42,17333.0
2023-10-06,HSCS,0.4,0.419,0.419,0.38,-0.05257623554154403,0.3804,0.415,0.4391,0.3804,21394.0,0.42,0.45,0.45,0.416,21550.0
2023-10-09,HSCS,0.383,0.425,0.426,0.383,4.987468671679191,0.399,0.3802,0.42,0.38,28979.0,0.3804,0.415,0.4391,0.3804,21394.0
2023-10-10,HSCS,0.45,0.41,0.45,0.41,14.09736308316431,0.3944,0.4189,0.4255,0.366,35851.0,0.399,0.3802,0.42,0.38,28979.0
2023-10-11,HSCS,0.424,0.416,0.43,0.416,2.2613663413473004,0.4201,0.45,0.45,0.3912,37397.0,0.3944,0.4189,0.4255,0.366,35851.0
2023-10-12,HSCS,0.413,0.4,0.413,0.4,5.381280285641419,0.3921,0.4296,0.4296,0.3921,21187.0,0.4201,0.45,0.45,0.3912,37397.0
